,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Age upon Outcome,Breed,Color,month,year,sex
345,A799980,Chikis,07/23/2019 5:24:00 PM,05/15/2013,Transfer,Partner,Dog,6 years,Chihuahua Shorthair Mix,Black/White,Jul,2019,Spayed Female
346,A704278,Candy,06/07/2015 6:37:00 PM,06/03/2013,Adoption,,Dog,2 years,Chihuahua Shorthair Mix,Red/White,Jun,2015,Spayed Female
347,A665095,Paddy,10/18/2013 1:23:00 PM,10/17/2009,Transfer,Partner,Dog,4 years,Dachshund Mix,Red/Buff,Oct,2013,Neutered Male
348,A612006,Dusty,09/12/2014 3:56:00 PM,10/15/2002,Return to Owner,,Dog,11 years,Chow Chow Mix,Tan,Sep,2014,Intact Male
349,A774090,Stanley,06/21/2018 3:18:00 PM,06/10/2013,Adoption,,Dog,5 years,Doberman Pinsch Mix,Black/Tan,Jun,2018,Neutered Male
350,A790785,Bingo,05/26/2020 1:50:00 PM,03/16/2018,Adoption,Foster,Dog,2 years,German Shepherd Mix,Black/Brown,May,2020,Neutered Male
351,A678083,*Aspen,07/12/2014 3:57:00 PM,04/03/2014,Adoption,,Cat,3 months,Domestic Shorthair Mix,Orange Tabby,Jul,2014,Neutered Male
352,A769669,,04/12/2018 5:32:00 PM,04/08/2016,Transfer,Snr,Cat,2 years,Domestic Longhair Mix,Cream Tabby,Apr,2018,Intact Male
353,A639030,Cate,06/15/2014 1:18:00 PM,10/08/2005,Return to Owner,,Dog,8 years,German Shepherd Mix,Tan,Jun,2014,Spayed Female
354,A854997,,04/12/2022 1:22:00 PM,04/12/2020,Transfer,Partner,Dog,2 years,German Shepherd Mix,Black,Apr,2022,Intact Female
355,A846023,,11/08/2021 6:15:00 PM,10/21/2021,Transfer,Partner,Cat,2 weeks,Domestic Shorthair,Blue Tabby,Nov,2021,Intact Male
356,A812889,Tutti,02/01/2020 1:23:00 PM,10/15/2019,Adoption,,Cat,3 months,Domestic Longhair,Black/White,Feb,2020,Intact Female
357,A749777,,06/06/2017 5:17:00 PM,04/10/2017,Adoption,Foster,Dog,1 month,Australian Shepherd Mix,Blue Merle,Jun,2017,Spayed Female
358,A847243,Agent,12/03/2021 4:24:00 PM,06/29/2021,Adoption,,Dog,5 months,Catahoula,Yellow Brindle/White,Dec,2021,Neutered Male
359,A737963,,11/07/2016 5:12:00 PM,09/07/2016,Transfer,Partner,Dog,1 month,Pit Bull Mix,White/Gray,Nov,2016,Intact Female
360,A794634,Diamond,07/11/2019 4:09:00 PM,04/10/2019,Adoption,,Cat,3 months,Siamese,Lynx Point,Jul,2019,Spayed Female
361,A703672,*Chillon,04/13/2016 12:00:00 AM,04/01/2015,Transfer,Partner,Cat,1 year,Domestic Shorthair Mix,Brown Tabby,Apr,2016,Neutered Male
362,A715807,*Franz,01/15/2016 4:59:00 PM,08/10/2015,Adoption,,Cat,5 months,Domestic Shorthair Mix,Black,Jan,2016,Neutered Male
363,A827315,Atticus,01/27/2021 1:11:00 PM,12/18/2011,Adoption,Foster,Dog,9 years,Labrador Retriever,Chocolate,Jan,2021,Neutered Male
364,A793307,,04/24/2019 4:24:00 PM,01/23/2019,Adoption,,Cat,2 months,Siamese Mix,Lynx Point/White,Apr,2019,Spayed Female
365,A805212,Turtle,10/22/2019 5:19:00 PM,11/24/2018,Adoption,,Cat,10 months,Domestic Shorthair,Tortie,Oct,2019,Spayed Female
366,A855631,Queso,05/14/2022 5:56:00 PM,04/21/2020,Adoption,,Cat,2 years,Domestic Longhair,Orange Tabby,May,2022,Spayed Female
367,A737367,*Charlie,10/31/2016 6:50:00 PM,10/26/2015,Adoption,,Dog,1 year,Chihuahua Shorthair Mix,Tricolor,Oct,2016,Neutered Male
368,A749609,*Emmy Lou,07/21/2017 10:12:00 AM,05/16/2017,Adoption,Foster,Dog,2 months,Labrador Retriever Mix,Black/Brown,Jul,2017,Spayed Female
369,A686100,,08/20/2014 5:17:00 PM,06/16/2014,Adoption,,Cat,2 months,Domestic Shorthair Mix,Calico,Aug,2014,Spayed Female
370,A754990,,07/30/2017 6:14:00 PM,05/27/2017,Adoption,,Dog,2 months,German Shepherd/Labrador Retriever,Tan/Black,Jul,2017,Neutered Male
371,A801848,*Kit,09/26/2019 7:07:00 PM,07/10/2019,Adoption,,Cat,2 months,Domestic Shorthair,Orange Tabby,Sep,2019,Spayed Female
372,A650142,Koda,01/22/2014 5:00:00 PM,03/24/2011,Return to Owner,,Dog,2 years,Chow Chow Mix,Brown/White,Jan,2014,Neutered Male
373,A832511,*Theodosia,05/25/2021 12:13:00 PM,04/14/2019,Adoption,,Cat,2 years,Siamese Mix,Chocolate Point,May,2021,Spayed Female
374,A754540,*Lily,12/20/2017 7:31:00 AM,09/18/2010,Adoption,Foster,Dog,7 years,Labrador Retriever Mix,Yellow,Dec,2017,Spayed Female
375,A818385,,06/08/2020 3:29:00 PM,03/17/2020,Return to Owner,,Cat,2 months,Domestic Shorthair,Blue Smoke,Jun,2020,Intact Male
376,A848012,Zeus,12/16/2021 4:34:00 PM,12/13/2014,Transfer,Out State,Dog,7 years,Chihuahua Shorthair Mix,Tricolor,Dec,2021,Neutered Male
377,A800657,,08/03/2019 8:36:00 AM,07/22/2019,Transfer,Partner,Dog,1 weeks,Labrador Retriever,Tricolor,Aug,2019,
378,A735484,Homie,11/19/2016 4:18:00 PM,09/24/2015,Adoption,,Dog,1 year,Labrador Retriever/Australian Kelpie,Chocolate/White,Nov,2016,Neutered Male
379,A732882,,08/14/2016 1:43:00 PM,08/14/2014,Euthanasia,Suffering,Cat,2 years,Domestic Shorthair Mix,Brown Tabby,Aug,2016,Intact Female
380,A763291,Bluebell,12/13/2017 4:40:00 PM,12/06/2016,Adoption,,Dog,1 year,American Staffordshire Terrier Mix,Brown Brindle/White,Dec,2017,Spayed Female
381,A793667,Lucas,05/03/2019 11:34:00 AM,04/28/2017,Return to Owner,,Dog,2 years,Miniature Poodle Mix,White,May,2019,Neutered Male
382,A813293,,02/13/2020 5:24:00 PM,02/13/2014,Adoption,,Dog,6 years,Beagle,White/Brown,Feb,2020,Spayed Female
383,A754241,,07/17/2017 6:10:00 PM,07/17/2015,Euthanasia,Rabies Risk,Other,2 years,Raccoon Mix,Gray/Black,Jul,2017,
384,A747283,Charlie,04/22/2017 5:45:00 PM,04/17/2015,Adoption,,Dog,2 years,Chihuahua Shorthair Mix,Tan/White,Apr,2017,Neutered Male
385,A709676,*Wendall,08/19/2015 3:45:00 PM,08/12/2014,Adoption,,Dog,1 year,Miniature Pinscher Mix,Chocolate/Tan,Aug,2015,Neutered Male
386,A847605,Pepe,12/05/2021 4:56:00 PM,12/05/2019,Return to Owner,,Dog,2 years,Doberman Pinsch,Black,Dec,2021,Intact Male
387,A695365,Monster,01/17/2015 5:31:00 PM,01/14/2014,Return to Owner,,Dog,1 year,Chihuahua Shorthair,Tan/Black,Jan,2015,Neutered Male
388,A692259,*Simon,12/06/2014 5:02:00 PM,11/17/2002,Adoption,,Dog,12 years,Miniature Schnauzer Mix,Black/Brown Brindle,Dec,2014,Neutered Male
389,A678468,,05/16/2014 11:58:00 AM,05/09/2012,Transfer,Partner,Dog,2 years,Chihuahua Shorthair/Rat Terrier,Tricolor,May,2014,Neutered Male
390,A685507,,08/08/2014 6:20:00 PM,07/17/2014,Transfer,Partner,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,Aug,2014,Intact Male
391,A741704,Samson,01/07/2017 12:04:00 PM,01/06/2015,Return to Owner,,Dog,2 years,Golden Retriever Mix,Yellow,Jan,2017,Intact Male
392,A844646,Negro,10/19/2021 12:18:00 PM,10/19/2018,Return to Owner,,Dog,3 years,Great Dane,Black/White,Oct,2021,Intact Male
393,A665319,Oberon,10/22/2013 5:09:00 PM,10/16/2012,Adoption,,Dog,1 year,Anatol Shepherd Mix,Tan/White,Oct,2013,Neutered Male
394,A686271,,08/23/2014 6:45:00 PM,08/19/2013,Adoption,,Dog,1 year,Chihuahua Shorthair/Pug,Brown,Aug,2014,Spayed Female
395,A678167,Leah,05/12/2014 2:38:00 PM,05/05/2013,Transfer,Partner,Dog,1 year,German Shepherd Mix,Black/Tan,May,2014,Spayed Female
396,A785672,Simba,02/09/2019 6:20:00 PM,02/07/2018,Adoption,,Dog,1 year,Boxer Mix,Brown/White,Feb,2019,Neutered Male
397,A857610,*Maple,06/25/2022 12:38:00 PM,04/18/2022,Adoption,Foster,Cat,2 months,Domestic Longhair,Black,Jun,2022,Spayed Female
398,A668128,Bonnie,12/21/2013 6:42:00 PM,11/27/2011,Adoption,,Dog,2 years,Pit Bull Mix,Blue/White,Dec,2013,Spayed Female
399,A725680,Casper,05/11/2016 3:50:00 PM,08/03/2015,Return to Owner,,Dog,9 months,Pit Bull Mix,White/Tan,May,2016,Neutered Male
400,A725680,Casper,09/01/2016 10:13:00 PM,08/03/2015,Return to Owner,,Dog,1 year,Pit Bull Mix,White/Tan,Sep,2016,Neutered Male
401,A668325,Beau,12/06/2013 1:55:00 PM,08/02/2013,Transfer,Partner,Dog,4 months,Greyhound,Tan/White,Dec,2013,Intact Male
402,A813099,,02/08/2020 10:58:00 AM,02/04/2019,Transfer,Snr,Cat,1 year,Domestic Medium Hair,Lynx Point,Feb,2020,Intact Female
403,A840119,*Josie,08/16/2021 5:38:00 PM,08/02/2019,Adoption,,Dog,2 years,German Shepherd Mix,Black/Brown,Aug,2021,Spayed Female
404,A692842,Caramel,12/04/2014 12:33:00 PM,04/26/2014,Transfer,Partner,Cat,7 months,Domestic Shorthair Mix,Orange Tabby,Dec,2014,Spayed Female
405,A817291,*Sunny,08/08/2020 8:43:00 AM,04/19/2020,Adoption,Foster,Cat,3 months,Domestic Shorthair,Brown Tabby,Aug,2020,Spayed Female
406,A676453,,04/11/2014 12:55:00 PM,09/10/2013,Transfer,SCRP,Cat,7 months,Domestic Shorthair Mix,Black/White,Apr,2014,
407,A778049,*Davey,08/18/2018 2:46:00 PM,02/07/2018,Adoption,,Cat,6 months,Domestic Shorthair Mix,Brown Tabby,Aug,2018,Neutered Male
408,A777801,Nino,08/07/2018 12:00:00 AM,08/03/2013,Transfer,Partner,Dog,5 years,Chihuahua Longhair Mix,Brown,Aug,2018,Intact Male
409,A840449,,08/08/2021 3:30:00 PM,07/25/2021,Transfer,Partner,Cat,2 weeks,Domestic Shorthair,Brown Tabby,Aug,2021,Intact Male
410,A700785,,04/19/2015 7:06:00 PM,03/28/2015,Transfer,Partner,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby,Apr,2015,Intact Male
411,A808826,Coco,11/18/2019 6:34:00 PM,08/14/2019,Adoption,,Dog,3 months,Collie Smooth Mix,Tricolor,Nov,2019,Neutered Male
412,A731795,Negro,08/06/2016 9:42:00 PM,11/15/2015,Return to Owner,,Dog,8 months,Doberman Pinsch,Black/Tan,Aug,2016,Intact Male
413,A705519,Sheos,06/20/2015 2:39:00 PM,06/18/2014,Return to Owner,,Dog,1 year,German Shepherd/Chow Chow,Brown/Tan,Jun,2015,Neutered Male
414,A823793,,10/23/2020 12:48:00 PM,08/04/2020,Transfer,Partner,Cat,2 months,Domestic Shorthair,Orange Tabby,Oct,2020,Spayed Female
415,A645112,Sherlock,10/27/2016 3:24:00 PM,01/03/2003,Transfer,Partner,Cat,13 years,Domestic Shorthair Mix,Silver Tabby,Oct,2016,Neutered Male
416,A843687,A843687,10/12/2021 5:49:00 PM,07/05/2021,Adoption,,Cat,3 months,Domestic Shorthair,Gray Tabby,Oct,2021,Neutered Male
417,A715038,*Melvin,11/09/2015 12:38:00 PM,10/31/2008,Transfer,Partner,Dog,7 years,Rat Terrier Mix,White/Black,Nov,2015,Intact Male
418,A805358,Ashanti,09/27/2019 5:44:00 PM,07/10/2019,Adoption,,Cat,2 months,Domestic Shorthair,Calico,Sep,2019,Spayed Female
419,A489503,Dezi,09/21/2014 4:26:00 PM,05/15/2007,Euthanasia,Suffering,Cat,7 years,Domestic Shorthair Mix,White/Brown Tabby,Sep,2014,Spayed Female
420,A782959,,10/24/2018 3:26:00 PM,10/23/2006,Transfer,Partner,Dog,12 years,Chihuahua Shorthair Mix,White/Tan,Oct,2018,Intact Female
421,A819251,,08/04/2020 2:42:00 PM,04/28/2020,Adoption,Foster,Cat,3 months,Domestic Longhair Mix,Torbie,Aug,2020,Spayed Female
422,A732077,,08/01/2016 10:25:00 PM,07/15/2016,Transfer,Partner,Cat,2 weeks,Domestic Shorthair Mix,Orange Tabby,Aug,2016,Intact Male
423,A715052,Freddie,11/14/2015 2:40:00 PM,10/30/2013,Return to Owner,,Dog,2 years,Chihuahua Shorthair Mix,Tan/White,Nov,2015,Neutered Male
424,A791765,,06/22/2019 8:38:00 AM,03/30/2019,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,Jun,2019,Neutered Male
425,A740494,,12/18/2016 12:34:00 PM,12/12/2016,Transfer,Partner,Dog,6 days,Labrador Retriever/Pit Bull,Brown Brindle,Dec,2016,Intact Male
426,A794072,,05/03/2019 5:18:00 PM,05/02/2019,Transfer,Partner,Cat,1 day,Domestic Shorthair Mix,Black,May,2019,
427,A818535,,06/11/2020 12:00:00 AM,06/10/2008,Transfer,Partner,Cat,12 years,Domestic Shorthair,Black/White,Jun,2020,Intact Male
428,A671944,,02/01/2014 4:12:00 PM,09/01/2013,Euthanasia,Suffering,Cat,5 months,Domestic Shorthair Mix,Brown Tabby,Feb,2014,Intact Female
429,A790748,Buzz,05/08/2020 10:43:00 AM,03/15/2018,Adoption,Foster,Dog,2 years,Labrador Retriever Mix,Black,May,2020,Neutered Male
430,A824403,,10/15/2020 4:37:00 PM,10/13/2019,Transfer,Snr,Cat,1 year,Domestic Shorthair,Orange Tabby,Oct,2020,Spayed Female
431,A769788,,04/15/2018 6:21:00 PM,09/10/2016,Adoption,,Dog,1 year,Norfolk Terrier Mix,Black/Brown,Apr,2018,Neutered Male
432,A709539,Athena,09/08/2015 5:54:00 PM,08/10/2011,Adoption,,Dog,4 years,Rottweiler,Tricolor,Sep,2015,Spayed Female
433,A799938,,08/13/2019 12:57:00 PM,06/14/2019,Transfer,Partner,Cat,1 month,Domestic Shorthair,Blue/White,Aug,2019,Intact Male
434,A844188,*Dakota,11/01/2021 1:10:00 PM,10/13/2018,Transfer,Out State,Dog,3 years,German Shepherd Mix,Tan/Black,Nov,2021,Intact Female
435,A668592,,12/09/2013 12:48:00 PM,12/05/2011,Transfer,Partner,Dog,2 years,Chihuahua Shorthair Mix,Brown/White,Dec,2013,Intact Female
436,A779590,,09/08/2018 4:46:00 PM,02/03/2018,Adoption,,Dog,7 months,Cardigan Welsh Corgi/Chihuahua Shorthair,White/Red,Sep,2018,Neutered Male
437,A747629,,04/26/2017 6:22:00 PM,04/22/2016,Adoption,,Dog,1 year,Chihuahua Shorthair Mix,Cream,Apr,2017,Spayed Female
438,A750906,Keena,06/08/2017 5:19:00 PM,06/06/2009,Return to Owner,,Dog,8 years,Pit Bull Mix,Brown,Jun,2017,Spayed Female
439,A665156,Baby Elic,10/19/2013 5:07:00 PM,12/14/2012,Adoption,,Dog,10 months,Border Collie Mix,White/Black,Oct,2013,Spayed Female
440,A721715,Shadow,03/13/2016 7:11:00 PM,03/02/2015,Adoption,,Dog,1 year,German Shepherd Mix,Sable,Mar,2016,Neutered Male
441,A677835,*Suzette,07/12/2014 11:41:00 AM,04/29/2013,Adoption,Foster,Cat,1 year,Domestic Shorthair Mix,Torbie,Jul,2014,Spayed Female
442,A732207,,08/05/2016 9:00:00 AM,05/04/2016,Transfer,SCRP,Cat,3 months,Domestic Shorthair Mix,Brown Tabby,Aug,2016,Intact Male
443,A800416,*Pup,08/06/2019 1:41:00 PM,01/20/2019,Adoption,,Dog,6 months,Labrador Retriever/Pit Bull,Red/White,Aug,2019,Neutered Male
444,A749460,*Sweetheart,07/17/2017 4:35:00 PM,11/15/2015,Adoption,,Cat,1 year,Domestic Medium Hair Mix,Blue/White,Jul,2017,Spayed Female
445,A694967,Jewels,08/09/2019 12:12:00 PM,01/07/2011,Return to Owner,,Dog,8 years,Siberian Husky Mix,Sable/Cream,Aug,2019,Spayed Female
446,A768874,,04/03/2018 2:30:00 PM,03/26/2015,Transfer,Partner,Dog,3 years,Border Collie/Australian Cattle Dog,Brown/White,Apr,2018,Spayed Female
447,A817618,Pepper,06/24/2020 10:19:00 AM,04/13/2020,Adoption,Foster,Cat,2 months,Domestic Shorthair,Blue/White,Jun,2020,Spayed Female
448,A782816,Prudence,10/21/2018 6:33:00 PM,03/21/2014,Transfer,Partner,Dog,4 years,Boxer Mix,Brown/White,Oct,2018,Intact Female
449,A680131,Beaux,05/30/2014 2:32:00 PM,05/30/2010,Return to Owner,,Dog,4 years,Labrador Retriever Mix,Black,May,2014,Neutered Male
450,A765867,,01/29/2018 9:45:00 AM,01/28/2016,Euthanasia,Rabies Risk,Other,2 years,Bat Mix,Black,Jan,2018,
451,A756321,*Cardamom,08/25/2017 4:54:00 PM,08/17/2014,Adoption,,Dog,3 years,Labrador Retriever Mix,Brown,Aug,2017,Spayed Female
452,A738283,Arwen,11/20/2016 7:12:00 PM,11/12/2015,Return to Owner,,Dog,1 year,Pit Bull Mix,Black Brindle/White,Nov,2016,Spayed Female
453,A748827,,05/08/2017 9:29:00 AM,05/01/2017,Transfer,Partner,Cat,1 week,Domestic Shorthair Mix,Brown Tabby/White,May,2017,
454,A691180,*Samson,11/09/2014 2:36:00 PM,10/31/2010,Transfer,Partner,Dog,4 years,Pit Bull Mix,Black/White,Nov,2014,Intact Male
455,A702260,Bella,05/12/2015 5:51:00 PM,05/11/2011,Transfer,Partner,Other,4 years,Guinea Pig Mix,Brown/Orange,May,2015,Intact Female
456,A707152,,07/09/2015 1:26:00 PM,07/08/2014,Transfer,Partner,Other,1 year,Rabbit Sh Mix,Black,Jul,2015,
457,A685214,Truffles,08/26/2014 5:22:00 PM,06/27/2014,Adoption,,Cat,1 month,Domestic Medium Hair Mix,Calico,Aug,2014,Spayed Female
458,A664941,Tequila,05/29/2017 4:04:00 PM,10/11/2009,Adoption,,Dog,7 years,Pit Bull Mix,Red/White,May,2017,Spayed Female
459,A785924,*Peaches,01/29/2019 12:06:00 PM,12/12/2017,Transfer,Partner,Dog,1 year,Pit Bull Mix,Fawn/White,Jan,2019,Intact Female
460,A678968,,05/14/2014 5:11:00 PM,05/05/2014,Transfer,Partner,Cat,1 weeks,Domestic Shorthair Mix,Black,May,2014,Intact Female
461,A745937,,03/26/2017 5:37:00 PM,03/26/2015,Died,In Kennel,Dog,2 years,Miniature Poodle Mix,White,Mar,2017,Intact Female
462,A755439,*Jasper,09/15/2017 3:14:00 PM,07/21/2017,Adoption,Foster,Cat,1 month,Domestic Shorthair Mix,Brown Tabby/White,Sep,2017,Neutered Male
463,A866622,Polar,10/08/2022 4:13:00 PM,04/19/2022,Adoption,,Cat,5 months,Domestic Shorthair,Blue/White,Oct,2022,Neutered Male
464,A793848,Deanna,05/02/2019 6:02:00 PM,05/01/2017,Return to Owner,,Dog,2 years,Chow Chow Mix,Brown,May,2019,Intact Female
465,A777109,Bacon,08/18/2018 9:19:00 AM,06/23/2017,Adoption,,Cat,1 year,Domestic Shorthair Mix,Brown Tabby,Aug,2018,Neutered Male
466,A707788,*Max,08/23/2015 4:29:00 PM,11/21/2014,Adoption,,Dog,9 months,Labrador Retriever Mix,Red/White,Aug,2015,Neutered Male
467,A738454,,11/15/2016 2:33:00 PM,11/15/2014,Euthanasia,Rabies Risk,Other,2 years,Raccoon Mix,Gray/Black,Nov,2016,
468,A800873,,08/06/2019 7:58:00 AM,05/28/2019,Transfer,Partner,Cat,2 months,Domestic Shorthair,White/Brown Tabby,Aug,2019,Spayed Female
469,A855742,Channing,04/30/2022 12:05:00 PM,01/22/2022,Adoption,,Dog,3 months,Pit Bull Mix,Black/White,Apr,2022,Neutered Male
470,A794777,Rajah,08/22/2021 2:47:00 PM,05/12/2017,Transfer,Partner,Dog,4 years,Australian Kelpie Mix,Black Brindle,Aug,2021,Neutered Male
471,A734403,Jorgie,10/22/2016 12:31:00 PM,08/12/2016,Adoption,,Cat,2 months,Domestic Shorthair Mix,Blue Tabby/White,Oct,2016,Intact Male
472,A687373,Bueller,09/06/2014 6:35:00 PM,09/04/2010,Adoption,,Dog,4 years,Chihuahua Shorthair Mix,Brown/Black,Sep,2014,Neutered Male
473,A861562,*Pandora,07/20/2022 9:15:00 AM,07/14/2020,Transfer,Out State,Dog,2 years,Chihuahua Shorthair Mix,Black/Tan,Jul,2022,Intact Female
474,A720124,,04/04/2016 5:48:00 PM,01/31/2016,Adoption,Foster,Dog,2 months,Australian Cattle Dog,Black/White,Apr,2016,Neutered Male
475,A778716,Anastasia,11/24/2018 6:55:00 PM,07/17/2018,Adoption,,Cat,4 months,Domestic Shorthair Mix,Brown Tabby,Nov,2018,Spayed Female
476,A785679,,12/11/2018 6:15:00 PM,09/15/2018,Adoption,,Dog,2 months,Border Terrier Mix,White,Dec,2018,Neutered Male
477,A700469,King,04/21/2015 5:52:00 PM,04/14/2013,Return to Owner,,Dog,2 years,American Staffordshire Terrier Mix,Blue/White,Apr,2015,Intact Male
478,A803559,*Lima Bean,01/02/2020 12:13:00 PM,09/03/2011,Adoption,Foster,Dog,8 years,Labrador Retriever/Border Collie,Black/White,Jan,2020,Spayed Female
479,A740606,Gachupin,12/20/2016 3:35:00 PM,04/20/2016,Died,In Kennel,Dog,8 months,Chihuahua Shorthair Mix,Red/White,Dec,2016,Intact Male
480,A682183,Roger Roger,04/13/2015 4:01:00 PM,06/25/2012,Transfer,Partner,Dog,2 years,Pit Bull Mix,Blue/White,Apr,2015,Neutered Male
481,A678485,Money,05/09/2014 4:16:00 PM,05/09/2000,Euthanasia,Suffering,Dog,14 years,Pit Bull Mix,Brown Brindle,May,2014,Intact Male
482,A697245,Toto,02/20/2015 7:10:00 PM,02/20/2012,Return to Owner,,Dog,3 years,Miniature Poodle/Bichon Frise,White/White,Feb,2015,Intact Male
483,A742676,Gorda,02/05/2017 3:59:00 PM,01/31/2016,Return to Owner,,Dog,1 year,Basset Hound Mix,White/Tan,Feb,2017,Spayed Female
484,A806621,*Boo,10/22/2019 3:17:00 PM,07/13/2019,Transfer,Partner,Cat,3 months,Domestic Shorthair Mix,Black,Oct,2019,Intact Male
485,A775399,Bean Sprout,07/07/2018 5:03:00 PM,03/29/2018,Adoption,,Cat,3 months,Domestic Shorthair Mix,Brown Tabby,Jul,2018,Spayed Female
486,A688196,Max,09/16/2014 12:20:00 PM,09/16/2005,Euthanasia,Suffering,Dog,9 years,Jack Russell Terrier Mix,Chocolate/White,Sep,2014,Neutered Male
487,A786751,,01/25/2019 1:03:00 PM,11/01/2018,Adoption,,Dog,2 months,German Shepherd,White,Jan,2019,Neutered Male
488,A778316,Blair,08/16/2018 11:40:00 AM,06/01/2018,Adoption,,Dog,2 months,Australian Shepherd Mix,Tricolor/White,Aug,2018,Intact Female
489,A688334,Chiquita,09/25/2014 5:53:00 PM,03/18/2012,Adoption,,Dog,2 years,Chihuahua Shorthair Mix,Sable/Black,Sep,2014,Spayed Female
490,A685023,Herbie,08/04/2014 8:02:00 PM,08/01/1999,Adoption,,Dog,15 years,Chihuahua Shorthair Mix,Tan,Aug,2014,Intact Male
491,A860346,,07/01/2022 1:02:00 PM,06/27/2020,Euthanasia,,Other,2 years,Bat,Brown,Jul,2022,
492,A796408,*Elmer,06/08/2019 4:37:00 PM,04/22/2019,Died,In Kennel,Cat,1 month,Domestic Shorthair,Blue,Jun,2019,Intact Male
493,A840151,Cara,08/25/2021 5:02:00 PM,08/03/2019,Return to Owner,,Dog,2 years,Labrador Retriever Mix,Brown/Black,Aug,2021,Spayed Female
494,A803247,*Moxie,09/02/2019 5:12:00 PM,08/29/2010,Transfer,Partner,Dog,9 years,Chihuahua Shorthair,Black/White,Sep,2019,Intact Female
495,A778694,,08/19/2018 11:06:00 AM,08/12/2018,Transfer,Partner,Cat,1 week,Domestic Shorthair Mix,Calico,Aug,2018,Intact Female
496,A698681,,03/20/2015 5:24:00 PM,10/16/2014,Adoption,,Dog,5 months,Border Terrier Mix,Gray/White,Mar,2015,Neutered Male
497,A724744,,04/23/2016 8:45:00 AM,04/21/2010,Euthanasia,Rabies Risk,Cat,6 years,Domestic Shorthair Mix,Orange/White,Apr,2016,Neutered Male
498,A847842,A847842,12/13/2021 5:45:00 PM,10/09/2021,Adoption,,Cat,2 months,Domestic Medium Hair Mix,Brown Tabby,Dec,2021,Spayed Female
499,A735996,,10/02/2016 5:37:00 PM,09/26/2016,Transfer,Partner,Cat,6 days,Domestic Medium Hair Mix,Black/White,Oct,2016,
500,A717665,Rocky,07/03/2019 8:31:00 AM,12/12/2007,Adoption,Foster,Dog,11 years,Boxer/Chinese Sharpei,Brown Brindle/Black,Jul,2019,Neutered Male
501,A474506,Amaya,06/29/2021 8:26:00 AM,06/07/2006,Adoption,Foster,Dog,15 years,Pit Bull/German Shepherd,Tan,Jun,2021,Spayed Female
502,A722917,*Brook,09/30/2016 12:51:00 PM,03/24/2014,Adoption,Foster,Dog,2 years,Labrador Retriever Mix,Black/White,Sep,2016,Spayed Female
503,A756122,,08/18/2017 7:21:00 PM,08/14/2016,Adoption,,Dog,1 year,Dachshund Mix,Brown Tiger/Brown,Aug,2017,Neutered Male
504,A738584,*Lydia,12/04/2016 5:10:00 PM,05/17/2016,Adoption,,Cat,6 months,Domestic Shorthair Mix,Black/White,Dec,2016,Spayed Female
505,A713610,Poppi,10/16/2015 12:00:00 AM,07/09/2014,Transfer,Partner,Dog,1 year,Labrador Retriever/Border Collie,Black/White,Oct,2015,Spayed Female
506,A731663,*Onyx,09/14/2016 2:13:00 PM,06/29/2016,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Black,Sep,2016,Spayed Female
507,A701472,,04/30/2015 12:52:00 PM,04/11/2015,Transfer,Partner,Cat,2 weeks,Domestic Shorthair Mix,Blue Tabby/White,Apr,2015,Intact Female
508,A775647,*Gigi,09/11/2018 1:03:00 PM,07/02/2018,Adoption,Foster,Dog,2 months,Cairn Terrier Mix,Tan,Sep,2018,Spayed Female
509,A723585,*Pee Wee,09/30/2016 1:16:00 PM,02/19/2016,Adoption,Foster,Cat,7 months,Domestic Shorthair Mix,Black,Sep,2016,Neutered Male
510,A648168,Rusty,02/04/2016 3:00:00 PM,03/23/2006,Adoption,Foster,Dog,9 years,Chihuahua Shorthair Mix,Tan,Feb,2016,Neutered Male
511,A850420,Luna,01/28/2022 5:58:00 PM,11/24/2021,Adoption,,Dog,2 months,German Shepherd Mix,Tan,Jan,2022,Spayed Female
512,A701643,*Chip,09/28/2015 3:03:00 PM,03/04/2015,Transfer,Partner,Cat,6 months,Domestic Shorthair Mix,Brown Tabby,Sep,2015,Neutered Male
513,A713974,,10/16/2015 12:42:00 PM,10/01/2015,Transfer,Partner,Cat,2 weeks,Domestic Medium Hair Mix,Black,Oct,2015,
514,A691198,Peach,11/23/2014 3:19:00 PM,01/31/2014,Adoption,,Dog,9 months,Labrador Retriever Mix,Black/White,Nov,2014,Spayed Female
515,A747831,Buford,01/25/2018 6:24:00 PM,04/25/2009,Return to Owner,,Dog,8 years,Labrador Retriever Mix,Chocolate,Jan,2018,Intact Male
516,A679572,*Beau,06/19/2014 6:13:00 PM,04/23/2014,Adoption,Foster,Cat,1 month,Domestic Medium Hair Mix,Brown Tabby,Jun,2014,Neutered Male
517,A756068,Fluffy,04/14/2019 1:20:00 PM,03/28/2017,Return to Owner,,Dog,2 years,Great Pyrenees,White/White,Apr,2019,Spayed Female
518,A729694,,07/09/2016 12:35:00 PM,04/03/2016,Adoption,Foster,Cat,3 months,Domestic Shorthair Mix,Torbie,Jul,2016,Spayed Female
